,1_-R_HO1_1,1_-R_O1_2,2_GalNAc(b1-1)_C1_3,2_GalNAc(b1-1)_H1_4,2_GalNAc(b1-1)_C2_5,2_GalNAc(b1-1)_H2_6,2_GalNAc(b1-1)_N2_7,2_GalNAc(b1-1)_H2N_8,2_GalNAc(b1-1)_C2N_9,2_GalNAc(b1-1)_CME_10,2_GalNAc(b1-1)_H3M_11,2_GalNAc(b1-1)_H2M_12,2_GalNAc(b1-1)_H1M_13,2_GalNAc(b1-1)_O2N_14,2_GalNAc(b1-1)_C3_15,2_GalNAc(b1-1)_H3_16,2_GalNAc(b1-1)_C4_17,2_GalNAc(b1-1)_H4_18,2_GalNAc(b1-1)_C5_19,2_GalNAc(b1-1)_H5_20,2_GalNAc(b1-1)_C6_21,2_GalNAc(b1-1)_H62_22,2_GalNAc(b1-1)_H61_23,2_GalNAc(b1-1)_O6_24,2_GalNAc(b1-1)_O5_25,2_GalNAc(b1-1)_O4_26,2_GalNAc(b1-1)_H4O_27,2_GalNAc(b1-1)_O3_28,3_Neu5Ac(a2-6)_C2_29,3_Neu5Ac(a2-6)_C1_30,3_Neu5Ac(a2-6)_O1A_31,3_Neu5Ac(a2-6)_O1B_32,3_Neu5Ac(a2-6)_C3_33,3_Neu5Ac(a2-6)_H3E_34,3_Neu5Ac(a2-6)_H3A_35,3_Neu5Ac(a2-6)_C4_36,3_Neu5Ac(a2-6)_H4_37,3_Neu5Ac(a2-6)_C5_38,3_Neu5Ac(a2-6)_H5_39,3_Neu5Ac(a2-6)_C6_40,3_Neu5Ac(a2-6)_H6_41,3_Neu5Ac(a2-6)_C7_42,3_Neu5Ac(a2-6)_H7_43,3_Neu5Ac(a2-6)_C8_44,3_Neu5Ac(a2-6)_H8_45,3_Neu5Ac(a2-6)_C9_46,3_Neu5Ac(a2-6)_H9S_47,3_Neu5Ac(a2-6)_H9R_48,3_Neu5Ac(a2-6)_O9_49,3_Neu5Ac(a2-6)_H9O_50,3_Neu5Ac(a2-6)_O8_51,3_Neu5Ac(a2-6)_H8O_52,3_Neu5Ac(a2-6)_O7_53,3_Neu5Ac(a2-6)_H7O_54,3_Neu5Ac(a2-6)_O6_55,3_Neu5Ac(a2-6)_N5_56,3_Neu5Ac(a2-6)_H5N_57,3_Neu5Ac(a2-6)_C5N_58,3_Neu5Ac(a2-6)_CME_59,3_Neu5Ac(a2-6)_H3M_60,3_Neu5Ac(a2-6)_H2M_61,3_Neu5Ac(a2-6)_H1M_62,3_Neu5Ac(a2-6)_O5N_63,3_Neu5Ac(a2-6)_O4_64,3_Neu5Ac(a2-6)_H4O_65,4_Gal(b1-3)_C1_66,4_Gal(b1-3)_H1_67,4_Gal(b1-3)_O5_68,4_Gal(b1-3)_C5_69,4_Gal(b1-3)_H5_70,4_Gal(b1-3)_C6_71,4_Gal(b1-3)_H62_72,4_Gal(b1-3)_H61_73,4_Gal(b1-3)_O6_74,4_Gal(b1-3)_H6O_75,4_Gal(b1-3)_C4_76,4_Gal(b1-3)_H4_77,4_Gal(b1-3)_O4_78,4_Gal(b1-3)_H4O_79,4_Gal(b1-3)_C3_80,4_Gal(b1-3)_H3_81,4_Gal(b1-3)_O3_82,4_Gal(b1-3)_H3O_83,4_Gal(b1-3)_C2_84,4_Gal(b1-3)_H2_85,4_Gal(b1-3)_O2_86,4_Gal(b1-3)_H2O_87
3_Neu5Ac(a2-6)_H3A_35,,,,,,,,,,,,,,,,,,3.985999999999997,,,5.568999999999999,,,3.977999999999998,,5.931999999999999,6.1519999999999975,,3.2519999999999953,5.1349999999999945,,6.359999999999996,1.4960000000000022,2.4319999999999986,0.0,2.946999999999999,4.4979999999999976,3.756999999999998,3.835000000000001,,,,,,,,,,,,,,,,3.599,,,5.234999999999999,6.764999999999997,7.814,7.354999999999999,7.355999999999998,,3.958000000000002,5.421000000000003,,,4.0020000000000024,,,,4.274000000000001,6.825000000000003,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H3E_34,,,,,,,,,,,,,,,,,,,,,,,,4.1540000000000035,,,,,2.674000000000003,4.079000000000001,6.083000000000002,4.710000000000001,1.8739999999999988,0.0,2.4319999999999986,3.0549999999999997,3.6359999999999992,,,,,,,,,,,,,,,,,,,,,,,,,6.356000000000002,,3.9339999999999975,4.638999999999996,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H3M_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.416999999999998,5.202999999999999,3.5529999999999973,1.2390000000000008,0.0,2.5989999999999984,2.7360000000000007,4.653999999999996,4.7059999999999995,4.229000000000003,,,,,,,,,6.396000000000001,4.972000000000001,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H4O_65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.544999999999998,4.638999999999996,5.421000000000003,2.710000000000001,3.410999999999998,3.6520000000000046,,,4.6469999999999985,,,,,,,,,,,,,,,4.302,4.375999999999998,5.273999999999997,5.1640000000000015,4.229000000000003,6.828000000000001,4.632999999999996,,1.463000000000001,0.0,,,,,,5.112000000000002,4.347000000000005,6.772000000000002,4.415000000000003,4.211000000000002,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H4_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.601999999999997,4.712999999999997,5.087000000000003,5.937999999999999,3.0359999999999943,3.6359999999999992,4.4979999999999976,1.5509999999999984,0.0,3.0790000000000006,3.6709999999999994,3.992000000000001,4.010000000000002,,,,,,,,,,,,,,,4.099,3.7429999999999986,5.311,6.172999999999998,7.411999999999999,6.8590000000000035,4.675999999999998,,3.0699999999999967,3.410999999999998,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H5N_57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.273,6.338999999999999,,3.8220000000000027,3.7429999999999986,3.012000000000004,4.486000000000001,4.729000000000006,3.8290000000000006,,5.3280000000000065,,,,,,,,,6.695000000000004,,,,1.475999999999999,0.0,3.1020000000000003,3.9639999999999986,5.202999999999999,4.650000000000004,2.7069999999999936,4.327000000000002,5.341000000000001,4.375999999999998,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H5_39,,,,,,,,,,,,,,,,,,4.820999999999998,,,,,,,,,,,,,,,4.393000000000001,6.2669999999999995,3.835000000000001,3.2119999999999997,3.6709999999999994,1.4739999999999966,0.0,3.1630000000000003,4.369000000000003,2.780999999999999,3.9380000000000024,4.521000000000001,5.601999999999997,6.276,,7.407000000000004,,8.403000000000002,6.053000000000001,6.8969999999999985,3.5799999999999983,3.9830000000000005,4.727999999999998,3.0100000000000016,4.486000000000001,3.426000000000002,5.929999999999996,6.978999999999999,6.168000000000001,6.520999999999997,3.727000000000004,4.0809999999999995,4.586000000000002,,,,5.194000000000003,3.4400000000000013,5.001999999999999,4.237000000000002,6.661999999999999,5.017000000000003,4.453000000000003,,,,,,5.0660000000000025,,7.8750000000000036,,,,
3_Neu5Ac(a2-6)_H6_41,,,,,,,,,,,,,,,,,,,,,,,5.472000000000001,,,,,,3.9319999999999986,5.073,3.8510000000000026,7.159999999999997,5.156000000000002,,,3.7050000000000054,4.010000000000002,2.9130000000000003,4.369000000000003,1.8000000000000043,0.0,2.5199999999999996,3.599,4.506000000000004,5.315000000000001,6.261000000000003,,7.068000000000001,,8.352000000000004,3.759999999999998,5.001999999999999,4.079000000000004,4.411999999999999,3.0530000000000044,4.231000000000002,3.8290000000000006,,7.408999999999999,,8.095000000000004,6.535999999999994,,5.224000000000004,4.6469999999999985,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H7O_54,,,,,,,,,,,,,,,,4.554999999999996,,,,,,,,,,,,,,,,,,,,,,4.574999999999999,3.9830000000000005,3.661999999999999,4.411999999999999,2.663999999999998,3.123000000000001,4.66,,3.811,3.838999999999995,3.9300000000000033,5.765999999999998,5.445999999999998,5.8260000000000005,6.498000000000001,1.440999999999999,0.0,,,,,,,,,5.542000000000005,,,,4.805999999999994,,,3.8389999999999986,5.440999999999995,,,5.222000000000005,5.224,,,,,,5.404999999999998,,,,,,
3_Neu5Ac(a2-6)_H7_43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.530000000000001,3.9380000000000024,3.617000000000001,3.599,1.198999999999998,0.0,3.1950000000000003,4.503999999999998,4.761999999999997,5.5419999999999945,3.8149999999999977,6.548999999999996,6.852999999999998,4.361000000000001,3.375,3.2319999999999993,3.123000000000001,,4.282000000000007,5.3280000000000065,4.940000000000005,7.443999999999999,,7.682000000000004,,4.825000000000003,,,,,,,,,,,,5.631,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H8O_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.001999999999999,4.353999999999999,3.375,3.3359999999999985,4.1469999999999985,3.554999999999996,5.390999999999998,2.567999999999998,5.181999999999999,5.486000000000001,1.2420000000000009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H8_45,,,,,,,,,,,,,,,,,,,4.998000000000001,3.562999999999999,,,5.583000000000002,,,,,,,,5.794000000000004,,,,,,,,,4.414999999999996,,3.3049999999999997,4.503999999999998,1.311,0.0,3.6960000000000015,3.4979999999999976,4.929000000000002,4.327000000000002,5.925000000000001,3.303000000000001,4.1469999999999985,4.527999999999999,,3.541999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H9O_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.614000000000001,,2.228999999999999,3.608999999999998,3.0380000000000003,1.597999999999999,0.0,4.862000000000002,5.486000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H9R_48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.626000000000005,3.8149999999999977,3.618000000000002,4.929000000000002,1.2330000000000005,2.8230000000000004,0.0,3.1479999999999997,3.0380000000000003,3.3080000000000034,2.567999999999998,4.611000000000004,3.9300000000000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_H9S_47,7.0319999999999965,6.599,5.0489999999999995,4.351999999999997,,,,,,,,,7.341999999999999,,,4.722000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,4.521000000000001,,2.5349999999999966,3.4979999999999976,1.836000000000002,0.0,2.8230000000000004,2.812999999999999,3.608999999999998,4.547000000000001,5.390999999999998,3.475999999999999,3.838999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_N5_56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8210000000000015,,5.293000000000003,3.6400000000000006,4.099,1.8340000000000067,3.0100000000000016,3.683000000000007,4.231000000000002,5.303000000000001,4.282000000000007,,,,,,,,6.273000000000003,5.6490000000000045,,,,0.0,1.475999999999999,2.315999999999999,3.1779999999999973,4.416999999999998,3.8640000000000025,3.752999999999993,3.5410000000000004,4.509,4.302,,,,,,,,,,5.119000000000003,,,,,,,,,,,,
3_Neu5Ac(a2-6)_O1A_31,,,,,,,,,,,,,,,,,,,,,,,5.568999999999999,,,,,,4.140999999999998,2.0040000000000013,0.0,3.504999999999992,,6.083000000000002,,,5.087000000000003,,,4.7330000000000005,3.8510000000000026,,,,5.794000000000004,,,,,,,,,,3.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_O1B_32,,,,,,,,,,,,,,,,,,,,,,,5.927999999999997,3.8740000000000023,,,,,3.227999999999998,2.086999999999996,3.504999999999992,0.0,5.181999999999999,4.710000000000001,,,5.937999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_O4_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4619999999999997,3.9339999999999975,3.958000000000002,1.8969999999999985,3.0699999999999967,3.4890000000000008,4.0809999999999995,4.402000000000001,,,,,,,,,,,,,,,,4.509,5.341000000000001,5.480999999999998,5.371000000000002,4.7059999999999995,7.035000000000002,5.597999999999999,,0.0,1.463000000000001,,,,,,4.1469999999999985,3.3820000000000014,5.806999999999999,5.120000000000001,4.556000000000001,,,,,,,,,,,,
3_Neu5Ac(a2-6)_O5N_63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.727000000000004,,,,4.825000000000003,,,,,,,,,,,,,3.5410000000000004,4.327000000000002,1.6469999999999985,3.6049999999999933,4.653999999999996,4.394999999999998,4.195999999999994,0.0,,,,,,,4.327000000000002,5.6789999999999985,4.9140000000000015,,4.341999999999999,2.7860000000000014,,,,,,,,,,,,
3_Neu5Ac(a2-6)_O6_55,,,,,,,,,,,,,,,,,,4.892999999999997,4.805999999999997,4.436999999999998,3.357999999999997,4.469000000000001,4.384999999999998,3.463000000000001,,,,,2.529,3.6700000000000017,3.346,5.756999999999998,3.329000000000004,5.203000000000003,3.599,4.224000000000004,5.425000000000001,3.596,,1.5649999999999977,3.0530000000000044,3.8449999999999953,5.001999999999999,4.852999999999998,3.541999999999998,,,,7.869,,5.162999999999997,6.404999999999998,3.859999999999996,5.094999999999999,0.0,5.116000000000007,6.162000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_O7_53,,,,,,,,,,,,,,,,4.192,4.527000000000001,4.472999999999999,,4.955000000000002,,,,,,,,,,,6.822000000000003,,,,,,,4.513999999999996,3.5799999999999983,2.6649999999999956,4.079000000000004,2.253,3.2319999999999993,3.271000000000001,4.527999999999999,3.3780000000000037,3.475999999999999,4.611000000000004,4.4830000000000005,5.607000000000003,5.763000000000002,6.606999999999999,0.0,1.440999999999999,3.859999999999996,,,,,,,,5.905000000000001,,,,4.696999999999996,,,4.431999999999999,5.291999999999998,5.402999999999999,6.951999999999998,6.091000000000001,5.586999999999996,,,,,,,,,,,,
3_Neu5Ac(a2-6)_O8_51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.690999999999999,,3.7779999999999987,3.759999999999998,3.5100000000000016,4.361000000000001,2.492000000000001,3.303000000000001,2.771000000000001,4.547000000000001,3.3080000000000034,4.558,4.862000000000002,0.0,1.2420000000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_O9_49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.528000000000002,,3.541999999999998,4.327000000000002,1.9549999999999983,2.812999999999999,3.1479999999999997,0.0,1.597999999999999,4.558,5.181999999999999,4.4830000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_Gal(b1-3)_C1_66,,,,,,,,5.036999999999999,,,,,,,4.182000000000002,3.868000000000002,,4.243000000000002,,,,,,,,5.8210000000000015,5.167000000000005,2.115000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.7050000000000054,2.247,4.152000000000001,4.412000000000003,,,6.710000000000001,,,4.389999999999997,5.776000000000003,4.609999999999999,6.015000000000001,4.134999999999998,3.7439999999999998,6.256,6.297000000000001,2.0970000000000013,3.358999999999998,3.169999999999998,3.974999999999998
4_Gal(b1-3)_C2_84,,,,,,,,5.6100000000000065,,,,7.934000000000006,7.175000000000004,,,,,,,,,,,,,,,4.212000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0970000000000013,3.3220000000000027,3.0179999999999936,4.922999999999995,,,,,,,4.240999999999996,5.6569999999999965,4.026999999999994,3.9179999999999993,2.0379999999999967,2.722999999999999,4.158999999999999,4.199999999999999,0.0,1.7420000000000009,1.995000000000001,2.724
4_Gal(b1-3)_C3_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.134999999999998,4.524000000000001,3.979999999999997,3.189,3.386999999999997,5.298999999999996,,6.360999999999997,,,2.2669999999999995,3.683,3.8969999999999985,3.4140000000000015,0.0,1.820999999999998,2.121000000000002,2.785999999999998,2.0379999999999967,2.644000000000002,3.9689999999999976,4.308000000000003
4_Gal(b1-3)_C4_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.389999999999997,4.779,4.096999999999998,2.1279999999999966,3.503999999999998,3.1699999999999946,4.318999999999999,4.231999999999996,4.949000000000002,4.950999999999997,0.0,1.4160000000000004,2.2020000000000017,3.2970000000000006,2.2669999999999995,3.218,3.3960000000000043,4.914999999999999,4.240999999999996,4.418999999999997,,
4_Gal(b1-3)_C5_69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.871000000000002,5.385000000000002,,4.152000000000001,4.128999999999998,1.9690000000000012,0.0,1.7540000000000013,2.2699999999999996,3.2590000000000003,3.171999999999997,4.267000000000003,4.268999999999998,2.1279999999999966,3.514000000000003,3.951999999999998,5.046999999999997,3.189,4.277999999999999,4.456000000000003,5.974999999999998,4.922999999999995,5.1009999999999955,,
4_Gal(b1-3)_C6_71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7330000000000005,,,5.6789999999999985,4.1469999999999985,5.112000000000002,,,4.175000000000001,2.2699999999999996,3.377999999999993,0.0,1.6650000000000027,1.6600000000000001,1.9970000000000034,2.892999999999997,3.1699999999999946,3.7979999999999983,4.144000000000002,5.239000000000001,5.298999999999996,,6.565999999999999,8.084999999999994,,,,
4_Gal(b1-3)_H1_67,,,,,5.25,5.538999999999998,,5.060000000000002,,,,,,,3.7929999999999993,3.478999999999999,5.043999999999997,4.594000000000001,,,,,,,,,6.460000000000004,2.442,,,,,,,,,,,,,,,,,,,5.912999999999997,,,,,,4.696999999999996,4.805999999999994,,,,,,,,,,,,1.7050000000000054,0.0,3.0559999999999974,4.128999999999998,4.388999999999999,,,6.686999999999998,,,4.779,6.165000000000006,4.999000000000002,6.4040000000000035,4.524000000000001,4.133000000000003,6.645000000000003,6.6860000000000035,3.3220000000000027,5.064000000000004,3.1250000000000036,3.1280000000000037
4_Gal(b1-3)_H2O_87,,,,,,,5.135999999999996,4.384000000000004,4.928000000000001,5.763999999999996,7.619,5.6,4.8409999999999975,5.885999999999999,5.053000000000001,4.739000000000001,,,,,,,,,,,,5.123999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.974999999999998,3.1280000000000037,,,,,,,,,,,6.361000000000001,6.066000000000006,4.308000000000003,4.6490000000000045,5.385000000000002,5.426000000000002,2.724,3.9480000000000004,1.418999999999997,0.0
4_Gal(b1-3)_H2_85,,,,,,,,,6.728000000000005,7.920000000000002,,7.756000000000006,6.997000000000003,,,,,,,,,,,,,,,4.552000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.358999999999998,,3.5500000000000007,5.1009999999999955,,,,,,,4.418999999999997,5.834999999999997,4.204999999999995,3.91,2.644000000000002,4.465,3.818999999999999,4.975999999999999,1.7420000000000009,0.0,3.1430000000000007,3.9480000000000004
4_Gal(b1-3)_H3O_83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.881,,,,,,4.914999999999999,5.355,,6.077999999999999,2.785999999999998,2.8690000000000033,1.5189999999999948,0.0,4.199999999999999,4.975999999999999,4.472999999999999,5.426000000000002
4_Gal(b1-3)_H3_81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.404999999999998,,,,,,,,,,,,3.7439999999999998,4.133000000000003,,4.277999999999999,3.0100000000000016,,,,,,3.218,3.3419999999999987,4.985999999999997,5.234999999999999,1.820999999999998,0.0,3.2620000000000005,2.8690000000000033,2.722999999999999,4.465,4.309999999999999,4.6490000000000045
4_Gal(b1-3)_H4O_79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.046999999999997,,5.239000000000001,,3.7489999999999952,,,3.2970000000000006,3.9549999999999983,1.4050000000000011,0.0,3.4140000000000015,5.234999999999999,4.559000000000005,6.077999999999999,3.9179999999999993,3.91,5.727,
4_Gal(b1-3)_H4_77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.514000000000003,3.7400000000000055,3.7979999999999983,5.211000000000006,4.859999999999999,3.5330000000000013,4.177,1.4160000000000004,0.0,2.8599999999999994,3.9549999999999983,3.683,3.3419999999999987,4.270000000000003,5.355,5.6569999999999965,5.834999999999997,,
4_Gal(b1-3)_H5_70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.357999999999997,,,3.4400000000000013,,,,,,,6.802,5.943999999999999,,,,,,4.431999999999999,3.8389999999999986,,,,5.763999999999999,,,,,4.327000000000002,,,4.412000000000003,4.388999999999999,2.480999999999998,1.7540000000000013,0.0,3.377999999999993,4.5269999999999975,4.439999999999994,4.0070000000000014,4.008999999999997,3.503999999999998,3.7400000000000055,5.7059999999999995,,3.386999999999997,3.0100000000000016,4.827999999999999,4.881,5.182999999999996,6.030999999999999,,
4_Gal(b1-3)_H61_73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.463000000000001,3.171999999999997,4.439999999999994,1.6600000000000001,2.551000000000002,0.0,2.997,4.552999999999997,4.231999999999996,4.859999999999999,3.4540000000000006,3.7489999999999952,6.360999999999997,,7.628,,,,,
4_Gal(b1-3)_H62_72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.923999999999996,4.274000000000001,4.901,,,4.237000000000002,,,,,,,,,,,,,,,,,,,,,6.9680000000000035,,,4.9140000000000015,3.3820000000000014,4.347000000000005,,,4.4239999999999995,3.2590000000000003,4.5269999999999975,1.6650000000000027,0.0,2.551000000000002,3.1300000000000026,2.9440000000000026,4.318999999999999,5.211000000000006,4.908999999999999,6.003999999999998,,,7.715000000000003,,,,,
4_Gal(b1-3)_H6O_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.453000000000003,,,,,,,,,7.3359999999999985,,,,,,5.224,,5.119000000000003,,4.433,5.965,4.972000000000001,7.180999999999999,6.852,2.7860000000000014,4.556000000000001,4.211000000000002,,,,4.268999999999998,4.008999999999997,2.892999999999997,2.9440000000000026,4.552999999999997,1.5559999999999974,0.0,4.950999999999997,4.177,,,,,,,,,,
4_Gal(b1-3)_O2_86,,,,,,,,5.337000000000007,5.881000000000004,6.1030000000000015,7.9580000000000055,5.939000000000005,5.180000000000003,6.839000000000002,,,,,,,,,,,,,,4.318999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.169999999999998,3.1250000000000036,5.012999999999995,,,,,,,,,,6.021999999999995,5.727,3.9689999999999976,4.309999999999999,4.431999999999999,4.472999999999999,1.995000000000001,3.1430000000000007,0.0,1.418999999999997
4_Gal(b1-3)_O3_82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.456000000000003,4.827999999999999,,,,,,3.3960000000000043,4.270000000000003,5.1640000000000015,4.559000000000005,2.121000000000002,3.2620000000000005,0.0,1.5189999999999948,4.158999999999999,3.818999999999999,4.431999999999999,5.385000000000002
4_Gal(b1-3)_O4_78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.609999999999999,4.999000000000002,4.317,3.951999999999998,,4.144000000000002,4.908999999999999,3.4540000000000006,5.481000000000002,,2.2020000000000017,2.8599999999999994,0.0,1.4050000000000011,3.8969999999999985,4.985999999999997,5.1640000000000015,6.682999999999996,4.026999999999994,4.204999999999995,6.021999999999995,
4_Gal(b1-3)_O5_68,,,,,,,,,,,,,,,4.475000000000001,4.161000000000001,,4.536000000000001,,,,,,,,6.114000000000001,4.736000000000001,3.8200000000000003,,,,,5.18,6.128000000000004,4.0020000000000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.247,3.0559999999999974,0.0,1.9690000000000012,2.480999999999998,4.175000000000001,4.4239999999999995,4.463000000000001,6.172000000000004,,4.096999999999998,5.483000000000004,4.317,5.722000000000001,3.979999999999997,5.0689999999999955,5.963000000000001,6.765999999999995,3.0179999999999936,3.5500000000000007,5.012999999999995,5.737999999999996
4_Gal(b1-3)_O6_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.222000000000005,,,,,,6.396000000000001,,,4.341999999999999,5.120000000000001,4.415000000000003,,,,4.267000000000003,4.0070000000000014,1.9970000000000034,3.1300000000000026,2.997,0.0,1.5559999999999974,4.949000000000002,3.5330000000000013,5.481000000000002,6.5760000000000005,,,,,,,,
