;1_-R_HO1_1;1_-R_O1_2;2_GalNAc(b1-1)_C1_3;2_GalNAc(b1-1)_H1_4;2_GalNAc(b1-1)_C2_5;2_GalNAc(b1-1)_H2_6;2_GalNAc(b1-1)_N2_7;2_GalNAc(b1-1)_H2N_8;2_GalNAc(b1-1)_C2N_9;2_GalNAc(b1-1)_CME_10;2_GalNAc(b1-1)_H3M_11;2_GalNAc(b1-1)_H2M_12;2_GalNAc(b1-1)_H1M_13;2_GalNAc(b1-1)_O2N_14;2_GalNAc(b1-1)_C3_15;2_GalNAc(b1-1)_H3_16;2_GalNAc(b1-1)_C4_17;2_GalNAc(b1-1)_H4_18;2_GalNAc(b1-1)_C5_19;2_GalNAc(b1-1)_H5_20;2_GalNAc(b1-1)_C6_21;2_GalNAc(b1-1)_H62_22;2_GalNAc(b1-1)_H61_23;2_GalNAc(b1-1)_O6_24;2_GalNAc(b1-1)_H6O_25;2_GalNAc(b1-1)_O5_26;2_GalNAc(b1-1)_O4_27;2_GalNAc(b1-1)_H4O_28;2_GalNAc(b1-1)_O3_29;3_Gal(b1-3)_C1_30;3_Gal(b1-3)_H1_31;3_Gal(b1-3)_O5_32;3_Gal(b1-3)_C5_33;3_Gal(b1-3)_H5_34;3_Gal(b1-3)_C6_35;3_Gal(b1-3)_H62_36;3_Gal(b1-3)_H61_37;3_Gal(b1-3)_O6_38;3_Gal(b1-3)_H6O_39;3_Gal(b1-3)_C4_40;3_Gal(b1-3)_H4_41;3_Gal(b1-3)_O4_42;3_Gal(b1-3)_H4O_43;3_Gal(b1-3)_C3_44;3_Gal(b1-3)_H3_45;3_Gal(b1-3)_C2_46;3_Gal(b1-3)_H2_47;3_Gal(b1-3)_O2_48;3_Gal(b1-3)_H2O_49;3_Gal(b1-3)_O3_50;4_Neu5Ac(a2-3)_C2_51;4_Neu5Ac(a2-3)_C1_52;4_Neu5Ac(a2-3)_O1A_53;4_Neu5Ac(a2-3)_O1B_54;4_Neu5Ac(a2-3)_C3_55;4_Neu5Ac(a2-3)_H3E_56;4_Neu5Ac(a2-3)_H3A_57;4_Neu5Ac(a2-3)_C4_58;4_Neu5Ac(a2-3)_H4_59;4_Neu5Ac(a2-3)_C5_60;4_Neu5Ac(a2-3)_H5_61;4_Neu5Ac(a2-3)_C6_62;4_Neu5Ac(a2-3)_H6_63;4_Neu5Ac(a2-3)_C7_64;4_Neu5Ac(a2-3)_H7_65;4_Neu5Ac(a2-3)_C8_66;4_Neu5Ac(a2-3)_H8_67;4_Neu5Ac(a2-3)_C9_68;4_Neu5Ac(a2-3)_H9S_69;4_Neu5Ac(a2-3)_H9R_70;4_Neu5Ac(a2-3)_O9_71;4_Neu5Ac(a2-3)_H9O_72;4_Neu5Ac(a2-3)_O8_73;4_Neu5Ac(a2-3)_H8O_74;4_Neu5Ac(a2-3)_O7_75;4_Neu5Ac(a2-3)_H7O_76;4_Neu5Ac(a2-3)_O6_77;4_Neu5Ac(a2-3)_N5_78;4_Neu5Ac(a2-3)_H5N_79;4_Neu5Ac(a2-3)_C5N_80;4_Neu5Ac(a2-3)_CME_81;4_Neu5Ac(a2-3)_H3M_82;4_Neu5Ac(a2-3)_H2M_83;4_Neu5Ac(a2-3)_H1M_84;4_Neu5Ac(a2-3)_O5N_85;4_Neu5Ac(a2-3)_O4_86;4_Neu5Ac(a2-3)_H4O_87
1_-R_HO1_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.739000000000004;17.497000000000003;15.926000000000002;16.432000000000002;14.483999999999998;14.960000000000004;;;;;;;;;;;;;;;20.971000000000004;20.767;21.405;22.155;23.238;24.833000000000006;23.758000000000006;22.094;25.150000000000002;24.506;26.984000000000005;24.705000000000005;25.193;24.852000000000004;25.941000000000003;22.505;23.063000000000002;19.445;23.023000000000003;23.990000000000002;23.843;25.627;;27.342000000000002;;22.882;;
1_-R_O1_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.081000000000003;16.839000000000002;15.268;15.774000000000001;;;;;;;;;;;;;;;;;;20.108999999999998;20.747;21.497;22.58;24.175000000000004;23.100000000000005;21.436;24.492;23.848;26.326;24.047000000000004;24.535;24.194000000000003;25.283;21.846999999999998;22.405;18.787;;;;;;26.684;;;;
2_GalNAc(b1-1)_H2M_12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.565;;;15.824000000000002;17.582;16.011;16.517;14.568999999999996;15.045000000000002;;;;;15.636;17.566;;;;;;;;;21.056;20.851999999999997;21.49;22.24;23.322999999999997;24.918000000000003;23.843000000000004;22.179;25.235;24.590999999999998;27.069;24.790000000000003;25.278;24.937;26.026;22.589999999999996;23.148;19.529999999999998;23.108;24.075;23.927999999999997;25.711999999999996;;27.427;;22.967;;
2_GalNAc(b1-1)_H61_23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.602;17.636;19.662999999999997;21.056;20.116999999999997;18.593;19.076999999999998;17.279999999999998;20.612;21.989;;;;;;;;;;;;;;;;;;;;;;;26.358;;26.381000000000004;;21.593999999999998;23.118
2_GalNAc(b1-1)_H6O_25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.715999999999998;15.238000000000003;;;15.372;16.806;16.847;18.881;20.907999999999998;22.301000000000002;21.362;19.838;20.322;18.525;21.857;23.234;21.275;;;;;;;;;;;;;;;;;;23.259;24.098;24.069;26.608999999999998;27.603;;27.626000000000005;23.157999999999998;22.839;24.363
2_GalNAc(b1-1)_O6_24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.354999999999997;20.748;19.808999999999997;18.285;18.769;16.971999999999998;20.304;21.681;;;;;;;;;;;;;;;;;;;;;;;26.05;;26.073000000000004;;21.285999999999998;22.81
4_Neu5Ac(a2-3)_CME_81;;;;;;;;;;;;;;;;;20.358999999999998;19.833;22.061;;24.087999999999997;23.304999999999996;25.363999999999997;25.055999999999997;26.608999999999998;;21.336999999999996;20.098999999999997;;;;16.778;16.041999999999998;15.994999999999997;17.862;18.456;;19.695999999999998;21.171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4_Neu5Ac(a2-3)_H1M_84;;;;;;21.015000000000008;;;;;;;;;19.447000000000006;;21.376000000000005;20.850000000000005;23.078000000000007;22.115000000000006;25.105000000000004;24.322000000000003;26.381000000000004;26.073000000000004;27.626000000000005;24.293000000000003;22.354000000000003;21.116000000000003;;16.283000000000005;16.127000000000006;17.795000000000005;17.059000000000005;17.012000000000004;18.879000000000005;19.473000000000006;18.132000000000005;20.713000000000005;22.188000000000006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4_Neu5Ac(a2-3)_H2M_83;27.342000000000002;26.684;24.701;25.488;22.87;22.407;23.910999999999998;23.349;24.849999999999998;25.83;26.109;27.427;24.519;25.072;20.527;20.994999999999997;;;;21.737000000000002;;;;;;23.671;;;18.975;16.558999999999997;16.593000000000004;;;;;;;;;;;;;;;15.416;15.837999999999997;16.602;16.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4_Neu5Ac(a2-3)_H3M_82;;;;;;;;;;;;;;;;;21.353;20.827;23.055000000000003;22.092000000000002;25.082;24.299;26.358;26.05;27.603;24.27;22.331;21.093;;16.26;;17.772000000000002;17.036;16.989;18.856;19.450000000000003;18.109;20.69;22.165000000000003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4_Neu5Ac(a2-3)_H8O_74;25.941000000000003;25.283;23.3;24.087;21.469;;22.509999999999998;21.948;23.448999999999998;24.429;24.708000000000002;26.026;23.118;23.671;;19.593999999999998;;;;;;;;;;;;;17.574;;;;;;;;;;;;;;;;;14.015;14.436999999999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4_Neu5Ac(a2-3)_H9R_70;26.984000000000005;26.326;24.343000000000004;25.130000000000003;22.512;22.049;23.552999999999997;22.991;24.491999999999997;25.472;25.751000000000005;27.069;24.160999999999998;24.714;20.169000000000004;20.637;;;;;;;;;;;;;18.617000000000004;;16.235000000000007;;;;;;;;;;;;;;;15.058000000000002;15.479999999999999;16.244;15.722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;